Country,Region
Australia,Oceania
Austria,Europa
Bahrain,Asia
Belgium,Europa
Brazil,America
Canada,America
Channel Islands,Europa
Cyprus,Europa
Czech Republic,Europa
Denmark,Europa
EIRE,Europa
European Community,Europa
Finland,Europa
France,Europa
Germany,Europa
Greece,Europa
Hong Kong,Asia
Iceland,Europa
Israel,Asia
Italy,Europa
Japan,Asia
Lebanon,Asia
Lithuania,Europa
Malta,Europa
Netherlands,Europa
Norway,Europa
Poland,Europa
Portugal,Europa
RSA,Africa
Saudi Arabia,Asia
Singapore,Asia
Spain,Europa
Sweden,Europa
Switzerland,Europa
USA,America
United Arab Emirates,Asia
United Kingdom,Europa
Unspecified,Desconocido
