StockCode,Description,CantidadVendida,Ranking
23843,"PAPER CRAFT , LITTLE BIRDIE",80995.0,1
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033.0,2
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,55047.0,3
85099B,JUMBO BAG RED RETROSPOT,48474.0,4
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37599.0,5
22197,POPCORN HOLDER,36761.0,6
84879,ASSORTED COLOUR BIRD ORNAMENT,36461.0,7
21212,PACK OF 72 RETROSPOT CAKE CASES,36419.0,8
23084,RABBIT NIGHT LIGHT,30788.0,9
22492,MINI PAINT SET VINTAGE,26633.0,10
22616,PACK OF 12 LONDON TISSUES,26135.0,11
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24854.0,12
22178,VICTORIAN GLASS HANGING T-LIGHT,24304.0,13
15036,ASSORTED COLOURS SILK FAN,23826.0,14
17003,BROCADE RING PURSE,23056.0,15
21915,RED  HARMONICA IN BOX,21933.0,16
22386,JUMBO BAG PINK POLKADOT,21465.0,17
22197,SMALL POPCORN HOLDER,20160.0,18
22086,PAPER CHAIN KIT 50'S CHRISTMAS,19355.0,19
20725,LUNCH BAG RED RETROSPOT,19353.0,20
